Male,Female,cBacilli,cBacteroidia,cBetaproteobacteria,cClostridia,cGammaproteobacteria,cActinobacteria,cFusobacteria,cFlavobacteriia,cSphingobacteriia,cDeltaproteobacteria,cEpsilonproteobacteria,cAlphaproteobacteria,cSpirochaetes,cErysipelotrichi,cThermotogae,cNostocophycideae,cMollicutes,cChlamydiia,cSynergistia,cDeinococci,cAnaerolineae,cThermoprotei,cOscillatoriophycideae,cThermodesulfobacteria,cDeferribacteres,cGroup II,cOpitutae,cCaldithrixae,cNitriliruptoria,cThermobacula,cFibrobacteria,cAcidimicrobiia,cSynechococcophycideae,cNitrospira,cHolophagae,cKtedonobacteria,cBrocadiae,cAcidobacteria,cChrysiogenetes,cDehalococcoidetes,cVerrucomicrobiae,cLeptospirae,cMethanomicrobia,cMethanobacteria,cChlorobia,cChloroflexi,cThermoleophilia,cHalobacteria,cMethylacidiphilae,cArchaeoglobi,cPedosphaerae,cPlanctomycetia,cSolibacteres,cArmatimonadia,cBrachyspirae,cCaldisericia,cSpartobacteria
1,1,3798,110,43,1106,30,275,141,201,3,0,2,0,0,30,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7380,7324,3144,15518,3914,3944,9219,1786,318,4,1986,4,774,61,0,342,5,0,2,3,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18158,5506,4191,4152,3194,483,4467,1978,256,7,234,0,149,42,0,1,36,0,12,1,1,7,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,22493,11342,6475,11598,10925,3963,5805,915,29,1,467,2,183,45,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1688,1020,927,715,720,161,211,56,10,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3483,596,716,570,726,272,267,179,9,0,64,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,24000,11657,3473,11027,5041,2491,2664,986,93,3,194,0,33,93,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7652,4217,3892,10703,18645,1888,1686,276,11,3,75,2,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,19040,8675,1627,19102,4041,2258,837,857,6,2,676,7,1,21,0,27,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,850,1560,181,1149,1007,159,342,78,5,0,12,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
