ID,Bacilli,Clostridia,Bacteroidia,Betaproteobacteria,Gammaproteobacteria,Actinobacteria,Fusobacteria,Flavobacteriia,Epsilonproteobacteria,Sphingobacteriia,Erysipelotrichi,Deltaproteobacteria,Spirochaetes,Mollicutes,Nostocophycideae,Alphaproteobacteria,Chlamydiia,Group II,Deinococci,Oscillatoriophycideae,Opitutae,Ktedonobacteria,Anaerolineae,Synergistia,Nitriliruptoria,Acidobacteria,Thermotogae,Synechococcophycideae,Fibrobacteria,Brocadiae,Deferribacteres,Holophagae,Thermodesulfobacteria,Thermoprotei,Caldithrixae,Nitrospira,Dehalococcoidetes,Leptospirae,Acidimicrobiia,Verrucomicrobiae,Archaeoglobi,Chlorobia,Chrysiogenetes,Methylacidiphilae,Spartobacteria,Planctomycetia,Thermobacula,Methanomicrobia,Gemmatimonadetes,Thermoleophilia,Chloroflexi,Armatimonadia
15043A,6440,13402,10461,17066,6221,3474,13720,1340,2180,531,35,88,335,134,57,27,6,3,23,20,5,9,11,13,0,2,1,3,1,3,0,2,0,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15041B,1445,3641,3738,4553,1529,846,3593,395,659,120,7,25,79,34,18,13,3,2,5,5,2,1,2,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15041A,1789,3125,2133,2989,1028,870,2091,276,386,85,11,37,40,61,54,20,8,0,7,10,4,3,9,4,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15040B,2524,7953,6001,6879,2301,1680,6514,813,1297,194,23,70,199,97,30,27,17,6,7,20,11,4,6,5,0,3,1,0,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15040A,1479,3400,3991,3153,1076,829,4138,464,860,91,13,33,81,51,18,13,4,0,6,3,5,4,3,3,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15039B,2223,1265,2882,947,987,397,577,153,122,95,7,28,4,14,15,19,6,61,3,3,6,4,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15039A,7521,7405,16724,3153,3017,1491,3634,823,337,270,18,65,58,64,31,19,7,3,4,3,5,9,7,9,3,1,1,2,0,8,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15038B,6557,8135,9273,7797,3898,2235,6626,794,658,291,30,79,51,57,55,22,15,6,8,8,10,8,9,17,1,2,0,0,1,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15038A,5828,8690,10484,8721,4558,2254,6922,758,713,290,15,56,34,50,33,24,9,1,6,5,8,1,4,9,3,1,2,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15035B,16025,7745,4884,2656,5919,3809,1770,460,126,55,27,41,16,40,29,18,15,5,4,4,1,7,3,2,1,2,1,1,0,2,1,2,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
