ID,Bacilli,Clostridia,Bacteroidia,Betaproteobacteria,Gammaproteobacteria,Actinobacteria,Fusobacteria,Flavobacteriia,Epsilonproteobacteria,Sphingobacteriia,Erysipelotrichi,Deltaproteobacteria,Spirochaetes,Mollicutes,Nostocophycideae,Alphaproteobacteria,Chlamydiia,Group II,Deinococci,Oscillatoriophycideae,Opitutae,Ktedonobacteria,Anaerolineae,Synergistia,Nitriliruptoria,Acidobacteria,Thermotogae,Synechococcophycideae,Fibrobacteria,Brocadiae,Deferribacteres,Holophagae,Thermodesulfobacteria,Thermoprotei,Caldithrixae,Nitrospira,Dehalococcoidetes,Leptospirae,Acidimicrobiia,Verrucomicrobiae,Archaeoglobi,Chlorobia,Chrysiogenetes,Methylacidiphilae,Spartobacteria,Planctomycetia,Thermobacula,Methanomicrobia,Gemmatimonadetes,Thermoleophilia,Chloroflexi,Armatimonadia
15095D,12665,10897,15806,12131,9612,1891,6645,2434,675,180,61,61,61,50,21,17,6,2,7,7,6,2,5,3,1,1,0,2,1,2,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15095A,8280,5790,9565,6523,4078,1660,3543,1218,290,110,49,48,27,62,82,26,10,6,9,15,5,9,7,0,2,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15093B,20177,16818,5859,4343,1284,7857,174,863,261,94,30,61,5,39,32,33,16,54,13,8,4,4,4,2,4,1,3,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15093A,24336,21289,6714,4307,1202,10314,214,1041,235,85,48,50,8,42,35,26,17,3,12,7,2,6,7,1,5,5,4,3,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15092B,51713,14624,8244,2083,2877,4718,1658,190,242,94,192,27,3,32,31,19,14,5,2,8,4,1,1,3,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15092A,30606,5859,3492,1452,1272,2967,714,125,117,64,107,43,10,39,29,31,14,36,2,6,7,7,5,1,1,3,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15091D,29723,7987,3268,1249,330,1390,515,907,141,43,47,41,10,38,38,25,12,2,14,6,4,5,3,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
15091A,42896,12981,4842,1673,402,2232,1070,1453,201,63,71,35,10,39,29,12,7,0,8,2,5,2,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15090B,8520,16056,9982,1851,10660,2179,1086,682,649,30,35,51,11,28,27,10,13,3,6,4,3,2,4,0,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15090A,8214,15843,10932,1974,9725,2144,1213,666,665,60,34,76,5,22,33,23,16,7,10,6,3,2,4,1,2,2,3,0,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15084B,25108,2308,2462,22811,8744,1057,1089,833,82,106,13,63,12,45,29,17,8,3,8,5,4,13,5,5,0,0,2,1,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15083D,508,300,111,115,98,78,46,15,16,9,3,7,1,8,8,8,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15083A,386,203,79,63,74,60,42,11,8,9,0,4,0,4,18,6,0,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15080F,28533,13563,8599,10735,7564,2252,1189,1875,461,465,21,77,44,66,24,20,10,2,20,6,8,2,3,1,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15080E,12456,3194,5601,5287,3052,1390,402,841,200,223,16,49,18,17,15,14,23,124,8,8,1,0,4,3,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15079F,18493,15560,14865,832,3247,2216,1012,508,214,156,133,67,30,68,32,23,27,12,11,12,7,5,8,2,1,5,2,2,2,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15079E,23674,26851,20803,901,4439,3637,1443,748,362,169,215,69,32,100,50,21,23,1,7,10,5,6,4,7,0,1,0,1,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15078F,27422,7021,6399,15542,9537,2610,1282,1321,341,171,85,81,55,63,29,23,13,10,11,10,7,9,5,6,0,2,2,2,0,3,3,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15078A,18215,7034,7653,14907,9243,2592,1611,1199,326,154,49,101,31,63,39,34,19,23,7,5,5,10,7,4,3,2,1,3,0,3,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15077F,19287,4729,4066,15744,7084,601,243,2817,73,73,12,33,13,15,32,11,5,4,0,3,4,0,1,1,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15077E,17182,2624,2920,12023,3874,523,203,1490,35,57,6,37,11,12,10,14,3,13,2,2,4,2,1,0,0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15076B,14478,4865,6469,4561,4861,1246,2583,1085,414,175,79,92,53,71,31,43,29,69,20,15,2,15,8,1,2,4,0,2,1,2,3,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15076A,42258,13524,12791,14740,11420,3363,7848,2688,533,319,243,146,70,94,46,39,21,5,19,14,13,15,15,1,3,3,4,4,1,3,3,2,2,1,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
15075B,9271,26206,12512,2901,3525,5491,2917,1263,1548,188,189,83,150,81,68,33,27,6,19,15,5,6,5,2,1,3,7,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15075A,11927,35238,16855,3375,4823,7499,3702,1661,2316,262,205,79,157,84,68,18,17,3,16,1,5,5,3,6,1,2,2,3,2,3,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15074B,28596,7459,1561,12081,3843,3189,998,671,177,62,43,63,22,43,34,27,11,16,6,5,9,10,3,0,0,1,2,1,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15074A,34004,7846,3059,17049,7072,4417,1330,512,314,109,68,71,17,35,25,19,12,2,8,7,2,5,2,2,0,0,3,2,0,1,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15069B,17205,12835,10082,9260,7292,2006,2755,1492,342,221,63,79,91,74,167,30,11,1,12,17,5,14,4,3,1,3,1,1,1,2,1,2,0,1,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15069A,17320,14450,11253,12449,9362,2763,3233,1840,450,196,68,67,89,64,47,24,9,3,8,9,4,12,1,1,1,2,0,0,0,2,0,0,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
15067B,3588,3542,3858,2947,1070,768,561,234,204,91,37,45,30,44,52,22,7,23,8,9,7,11,5,1,2,1,2,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
